Type,Item,Description,Impact_or_Rationale,Mitigation_or_Next_Step,Owner,Status
Risk,Public/default ACR Task pool boundary,The default/public ACR Task pool is Azure-managed compute and is not inside the customer VNet.,May raise security boundary concerns if used for sensitive or internal builds.,Limit public/default pool usage to bootstrap or non-sensitive build activities. Use dedicated private ACR agent pool for internalized builds requiring private network access.,My Team / Security Review,Open
Risk,Vulnerable image promotion,"If the security gate is not strict enough, vulnerable images could still progress to nonprod or production.",Could weaken production security posture and create compliance exposure.,"Define Trivy severity thresholds, fail conditions, exception handling, and POA&M requirements before promotion.",My Team / Security Team,Open
Risk,Incomplete scan coverage,Trivy and JFrog Xray may identify different findings. Relying on one scanner may create blind spots.,Security findings may be missed if only one scanner is treated as authoritative.,"Treat the new CI/CD gate as additive, not a replacement for existing Xray controls. Compare scanner results during rollout.",My Team / Security Team,Open
Risk,Pipeline availability,"If GitHub Actions, ACR Tasks, AKS, or ACR is unavailable, image builds or promotions may be delayed.",Routine maintenance or emergency patching may be delayed.,"Document retry process, manual break-glass process, and dependency ownership.",My Team,Open
Risk,Promotion of unvalidated image,"If nonprod validation is incomplete, an image may be promoted before all runner groups are tested.",Production runner groups may fail after promotion.,Require runs-on validation across all required runner groups before promotion gate approval.,My Team,Open
Risk,POA&M quality,Automatically generated POA&M entries may lack enough context for security review or audit use.,Findings may require manual rework before they are useful for compliance tracking.,"Define required POA&M fields, ownership, severity mapping, evidence links, and review process.",My Team / Security Team,Open
Issue,Manual per-environment builds,Current process builds images separately by environment.,Creates inconsistency between nonprod and prod and duplicates work.,"Implement build once, validate in nonprod, promote to prod model.",My Team,Open
Issue,Manual after-hours execution,Approved routine maintenance still requires someone to log in at night and manually click a workflow.,Creates avoidable operational burden and manual execution risk.,Replace manual execution with scheduled workflow and gated promotion.,My Team,Open
Issue,Review board overhead for routine maintenance,Basic runner image maintenance requires security review board approval each time.,Slows response to normal patching and routine maintenance needs.,Establish a pre-approved automated process with evidence-based gates and defined exception handling.,My Team / Security Team,Open
Issue,Xray enforcement gap,"JFrog Xray may block future pulls, but the image build can continue after an image was already pulled.",Creates a CI/CD enforcement gap where vulnerable images may continue through the build process.,Add Trivy-based CI/CD security gate that evaluates the built artifact before promotion.,My Team / Security Team,Open
