Workstream,Milestone,Description,Status,Owner,Target Date,Percent Complete,Latest Update,Blockers and Risks
Tagging & Naming Conventions,Define Resource Tagging Standard,"Mandatory + optional tags (Environment, Owner, CostCenter, Application, CMMC-Level, Terraform-Managed)",Not Started,,,0,,
Tagging & Naming Conventions,Define Naming Conventions,"Standardized naming for accounts, VPCs, subnets, EKS clusters, IAM roles, S3 buckets",Not Started,,,0,,
Tagging & Naming Conventions,Tag Enforcement Policy,AWS Config rules or SCPs to deny untagged resources; CI lint checks in GitHub Actions,Not Started,,,0,,
Bootstrap TF Module,OIDC Provider for GitHub Actions,IAM OIDC identity provider so GHA workflows assume roles without long-lived credentials,Not Started,,,0,,
Bootstrap TF Module,TF State Backend (S3 + DynamoDB),Versioned encrypted S3 bucket + DynamoDB lock table per account,Not Started,,,0,,
Bootstrap TF Module,IAM Roles and Policies for TF Execution,Least-privilege plan/apply roles for GHA; permission boundaries,Not Started,,,0,,
Bootstrap TF Module,GitHub Actions Workflow Templates,Reusable GHA workflows for init/plan/apply with OIDC auth and state locking,Not Started,,,0,,
Bootstrap TF Module,Bootstrap Runbook and Documentation,README + runbook for onboarding new accounts through the bootstrap module,Not Started,,,0,,
Account Vending Machine,Account Vending Design and Approval,Architecture for automated provisioning via Org API / TF under correct OU with baseline SCPs,Not Started,,,0,,
Account Vending Machine,Account Baseline TF Module,Applied to every new account: bootstrap OIDC and state plus security baseline and networking,Not Started,,,0,,
Account Vending Machine,OU Structure and SCP Assignment,"OU hierarchy (Prod, Non-Prod, Sandbox, Security, Shared Services) + SCPs per OU",Not Started,,,0,,
Account Vending Machine,Account Request and Provisioning Workflow,Intake process (ticket/PR) triggering GHA pipeline to vend a fully baselined account,Not Started,,,0,,
IAM Identity Center (SSO),Enable IAM Identity Center,Enable in mgmt or delegated admin account; select identity source,Not Started,,,0,,Pending IdP decision (Okta / Azure AD / built-in)
IAM Identity Center (SSO),IdP Integration and Federation,SAML/SCIM integration with corporate IdP for automated user and group provisioning,Not Started,,,0,,
IAM Identity Center (SSO),Permission Sets Design,"Define sets (Admin, PowerUser, ReadOnly, DevOps, SecurityAudit) mapped to job functions",Not Started,,,0,,
IAM Identity Center (SSO),Account Assignments,Map groups to permission sets to accounts; automate via TF aws_ssoadmin resources,Not Started,,,0,,
IAM Identity Center (SSO),MFA Enforcement and Session Policies,Require MFA for all SSO users; configure session duration and re-auth policies,Not Started,,,0,,
Security Account Setup,Designate Security Tooling Account,Dedicated account for centralized security services with delegated admin,Not Started,,,0,,
Security Account Setup,GuardDuty Org-wide Enablement,Delegated admin in Security account; auto-enable for new accounts; findings export to S3,Not Started,,,0,,
Security Account Setup,AWS Config Org Aggregator,"Config in all accounts/regions; aggregator in Security account; conformance packs (CIS, CMMC)",Not Started,,,0,,
Security Account Setup,CloudTrail Org Trail,Org-level trail logging mgmt + data events to centralized S3 in Security account,Not Started,,,0,,
Security Account Setup,CloudWatch Cross-Account Observability,"Monitoring account config; cross-account sharing for metrics, logs, traces",Not Started,,,0,,
Security Account Setup,Security Hub Central Findings,"Delegated admin; aggregate findings from GuardDuty, Config, Inspector across Org",Not Started,,,0,,
Security Account Setup,Alerting and Notification Routing,SNS + EventBridge rules for critical findings; route to PagerDuty / Teams / email,Not Started,,,0,,
Shared Network Setup,VPC Architecture and CIDR Planning,Hub-spoke design; non-overlapping CIDR allocation; IPAM pool setup,Not Started,,,0,,
Shared Network Setup,Transit Gateway (TGW),TGW in shared networking account; route tables for prod/non-prod isolation; RAM sharing,Not Started,,,0,,
Shared Network Setup,Subnet Design and Tiering,"Public, private, data, firewall tiers per AZ; standardized TF module",Not Started,,,0,,
Shared Network Setup,VPC Endpoints (PrivateLink),"Centralized endpoints for S3, ECR, STS, SSM, CloudWatch, KMS",Not Started,,,0,,
Shared Network Setup,DNS Strategy (Route 53),Private hosted zones; Resolver rules for hybrid DNS; forwarding to on-prem if needed,Not Started,,,0,,
Shared Network Setup,Network Firewall and NACLs,AWS Network Firewall in inspection VPC or NACLs + baseline SG templates,Not Started,,,0,,
Shared Network Setup,VPN or Direct Connect,Site-to-site VPN or DX for hybrid connectivity; attach to TGW,Not Started,,,0,,
EKS Baseline (CMMC),EKS Cluster Provisioning (Terraform),Shared EKS via TF; private API endpoint; managed node groups; KMS encryption; CMMC config,Not Started,,,0,,
EKS Baseline (CMMC),EKS Pod Identity Agent,Pod Identity agent add-on; pod identity associations for workloads to assume IAM roles,Not Started,,,0,,
EKS Baseline (CMMC),Wiz Agent K8s Runtime Connector,"Wiz K8s connector DaemonSet for runtime visibility, vuln scanning, compliance posture",Not Started,,,0,,
EKS Baseline (CMMC),Cluster Networking (VPC CNI + Ingress),VPC CNI; ALB Ingress Controller or NGINX; network policies for namespace isolation,Not Started,,,0,,
EKS Baseline (CMMC),Cluster Logging and Audit,"Control plane logging (API, audit, authenticator); Fluent Bit for pod logs to CloudWatch/S3",Not Started,,,0,,
EKS Baseline (CMMC),Image Security and ECR,Private ECR; scanning on push; admission controller (Kyverno/OPA) to block unscanned images,Not Started,,,0,,
EKS Baseline (CMMC),Secrets Management,Secrets Manager CSI driver; KMS encryption; no secrets in env vars or ConfigMaps (CMMC),Not Started,,,0,,
EKS Baseline (CMMC),CIS and CMMC Hardening,"CIS EKS Benchmark; CMMC L2 controls (AC, AU, SC, SI); Wiz + Config compliance checks",Not Started,,,0,,
Team Onboarding,GitHub Repo Provisioning (per team),Automated repo from template; branch protection; GHA workflows pre-configured with OIDC + TF,Not Started,,,0,,
Team Onboarding,K8s Namespace Provisioning,Dedicated namespace per team with labels/annotations for cost tracking and compliance,Not Started,,,0,,
Team Onboarding,K8s RBAC (per team),Namespace-scoped Roles + RoleBindings tied to IAM Identity Center groups via EKS access entries,Not Started,,,0,,
Team Onboarding,Resource Quotas and Limit Ranges,"ResourceQuota (CPU, mem, pods, PVC) + LimitRange defaults per namespace",Not Started,,,0,,
Team Onboarding,Network Policies (namespace isolation),Default-deny ingress/egress; explicit allow for approved cross-ns and external traffic,Not Started,,,0,,
Team Onboarding,Team Onboarding Runbook and Self-Service,Docs + intake template; single pipeline to vend repo + namespace + RBAC + quotas,Not Started,,,0,,
Budget and Cost Management,AWS Budgets Setup,Account + OU-level budgets with thresholds (50/80/100%); SNS/email alerts,Not Started,,,0,,
Budget and Cost Management,Cost Allocation Tags,"Activate tags (CostCenter, App, Team, Env) in billing console for chargeback/showback",Not Started,,,0,,
Budget and Cost Management,Cost Anomaly Detection,AWS Cost Anomaly Detection monitors per account/service; alerts to finance + engineering,Not Started,,,0,,
Budget and Cost Management,Cost Explorer Dashboards,"Saved views: spend by account, service, team, env; month-over-month trend",Not Started,,,0,,
Budget and Cost Management,FinOps Review Cadence,"Monthly cost review; optimization targets (RI/SP coverage, idle resources, right-sizing)",Not Started,,,0,,
